,Name,Calories,Carbs,Fats,Proteins,Fiber,Cholestrol,Sugar
246,Mango and West Indian Cherry Plus Smoothie,133,30.0,0.0,0.0,0.0,0,0
247,Chicken Indian Medium Tikka Masala,848,20.0,60.0,52.0,0.0,0,0
248,Onion Indian Style Selection Bhaji,40,5.2,1.4,1.4,1.1,0,0
249,"Organic, Indian Simmer, Madras",60,8.0,4.0,1.0,1.0,0,3
250,"Organic, Indian Simmer, Jalfrezi",90,9.0,6.0,1.0,2.0,0,3
251,"Curry, Indian, Salt-Free Blend",0,0.0,0.0,0.0,0.0,0,0
252,"Smoothie, Indian Cultured Milk, Mango",174,25.0,2.0,14.0,3.0,10.0,21
253,"Soda, Kola, West Indian Fruit",155,38.0,0.0,0.0,0.0,0,38
254,"Indian Madras Lentils, Organic",170,21.0,7.0,7.0,7.0,10.0,5.0
255,Indian-Spiced Chickpea Curry Bowl,360,50.0,12.0,11.0,6.0,0,4
256,Masala Cuppa Indian Noodles,320,35.0,18.0,4.0,3.0,0,5
257,Sea Salt Popcorn,140,17.0,6.0,3.0,3.0,0,0
258,West Indian Mango Jam,40,19.0,0.0,0.0,0.0,0,10
259,Chicken Vindaloo,340,37.0,12.0,22.0,3.0,50,1.0
260,"Soup Mix, Indian Dal",140,26.0,0.5,8.0,10.0,0,2.0
261,Bhatura North Indian-Style Bread,220,28.0,9.0,7.0,2.0,0,1.0
262,Authentic Indian Basmati Rice,160,36.0,0.5,4.0,1.0,0,0
263,Cheese Jalapeno Popcorn,150,14.0,10.0,2.0,2.0,0,1
264,"Kettlecorn, Sweet & Salty",130,21.0,5.0,1.0,2.0,0,9.0
265,Indian Madras Lentils,180,22.0,7.0,8.0,6.0,12,3
266,Indian Premium Basmati Rice,110,22.0,1.0,3.0,2.0,0,0
267,"Bacon, Thick Cut",80,0.0,7.0,5.0,0.0,15,0
268,"Roti, Traditional Indian Flatbread",130,21.0,3.5,4.0,2.0,0,0
269,Indian Style Pilau,140,26.0,2.0,5.0,3.0,0,1
270,All Natural Kettlecorn,130,21.0,5.0,1.0,2.0,0,6
271,Indian Bites Chicken Samosas,240,28.0,9.0,13.0,3.0,15,2
272,Orange Juice,110,26.0,0.0,2.0,0.0,0,22
273,100% Apple Cider,120,30.0,0.0,0.0,0.0,0,26.0
274,Organic Indian Basmati Rice,170,39.0,0.0,4.0,1.0,0,0
275,"Chapati, Whole Wheat",290,46.0,8.0,8.0,4.0,0,1
276,Paneer Indian Cheese,75,0.5,6.0,6.0,0.0,25.0,0
277,"Kettle Corn, Maple",160,14.0,11.0,2.0,2.0,0,5.0
278,"Popcorn, Sea Salt",60,9.0,3.0,1.0,2.0,0,0
279,Orange Juice,110,26.0,0.0,2.0,0.0,0,22
280,Indian Madras Lentils,150,17.0,6.0,6.0,5.0,10.0,3.0
281,Black & White Drizzlecorn,140,18.0,7.0,1.0,1.0,0,11
282,Cinnamon Sugar Kettlecorn,130,21.0,4.5,1.0,2.0,0,7.0
283,Indian Curry Korma Wrap,200,31.0,7.0,4.0,3.0,0,6
284,Indian Curry Meal Kit,190,41.0,1.5,4.0,1.0,0,1
285,Butter Chicken Sauce,220,15.0,16.0,3.0,2.0,10,4.0
286,Sea Salt Popcorn,130,18.0,6.0,3.0,3.0,0,0
287,Parmesan & Herb Popcorn,130,16.0,6.0,3.0,3.0,5.0,1
288,Navratian Korma,140,11.0,10.0,4.0,2.0,20,2
289,Kala Chana,130,21.0,2.0,6.0,7.0,0,1
290,"Kettlecorn, Sweet & Salty",130,21.0,5.0,1.0,2.0,0,9.0
291,Bajri Khakhara,180,24.0,8.0,4.0,4.0,0,0
292,Sundried Tomato & Basil Wrap,290,47.0,7.0,6.0,0.0,0,3
293,"Pakora, Onion",90,9.0,5.0,3.0,1.0,0,1
294,Orange Juice,110,26.0,0.0,2.0,0.0,0,22
295,Vegetable Jaipuri,160,9.0,13.0,4.0,2.0,20,2
296,"Chia Cherry, Granola",150,20.0,7.0,4.0,3.0,0,6.0
297,"Meatballs, Indian Style",200,6.0,13.0,14.0,2.0,65,3
298,Indian Yogurt Smoothie,160,11.0,10.0,9.0,0.0,35,11
299,"Indian Snacks, Mirch Masala",533,56.6,31.2,6.6,0.6,0,0
300,"Roti Wrap, Indian Bistro",330,40.0,16.0,6.0,2.0,0,0
301,"Kettlecorn, Sweet & Salty",130,21.0,5.0,1.0,2.0,0,9.0
302,Kettlecorn Sweet & Salty,130,21.0,5.0,1.0,2.0,0,9.0
303,Indian Style Smoothie,170,17.0,9.0,9.0,0.0,30,16
304,"Delhi Potatoes, Organic",160,16.0,8.0,3.0,2.0,0,0
305,"FruitMates, Strawberry Applesauce",100,25.0,0.0,0.0,1.0,0,22
306,Turmeric Superghee,45,0.0,5.0,0.0,0.0,8,0
307,Indian Naan Flatbread Whole Grain,200,31.0,6.0,6.0,4.0,0,0
308,Indian Naan Garlic Flatbread,180,30.0,4.5,6.0,2.0,5.0,0
309,Indian Chicken Korma,380,48.0,10.0,24.0,2.0,4.0,0
310,Indian Madras Cooking Sauce,160,14.0,11.0,1.0,3.0,5,0
311,Blue Menu Indian Raita,25,2.0,1.5,1.0,0.0,5.0,0
312,Indian Summer Premium Apple Juice,120,30.0,0.0,0.0,0.0,0,0
313,Curry Vegetable Indian Meal For One,220,20.0,12.0,2.0,2.0,0,0
314,Balti Chicken From Indian Meal For One,384,9.0,18.0,36.0,6.0,0,0
315,Biryani Chicken Tikka Northern Indian,698,72.0,22.5,40.5,4.5,0,0
316,"Mattar Tofu Indian  Meal, frozen",280,40.0,8.0,12.0,5.0,0,5
317,"Indian Spinach Tofu Wrap, frozen",270,28.0,13.0,10.0,6.0,0,2.0
318,Indian White Basmati Rice,180,39.0,0.0,4.0,0.0,0,0
319,Indian Style Lentil Cup Soup,80,13.3,0.0,5.6,2.0,0,0
320,Dal Makhani,170,20.0,7.0,7.0,3.0,15,0
321,"Indian Dal Golden Lentil Soup, canned",220,25.0,9.0,9.0,7.0,0,3
322,"Organic, Indian Simmer, Korma",140,9.0,11.0,1.0,1.0,10.0,4
323,Indian Fare Punjabi Eggplant,150,13.0,9.0,4.0,2.0,0,4.0
324,Indian Spiced Chai,0,0.0,0.0,0.0,0.0,0,0
325,Indian Tikka Masala Pizza,300,47.0,9.0,16.0,10.0,15.0,0
326,Bhaji Onion Indian Starter Selection,65,3.3,5.1,1.1,0.4,0,0
327,"Indiana Fit Popcorn, Parmesan and Herb, 4.4oz",130,16.0,6.0,3.0,3.0,0,0
328,"Organic, Indian Black Bean & Rice",150,30.0,1.0,8.0,4.0,0,0
329,"Paneer Tikka Indian Meal, frozen",251,29.0,11.0,8.6,2.4,5.0,0
330,"Palak Paneer Indian Meal, frozen",300,38.0,11.0,12.0,6.0,0,0
331,"Light in Sodium Indian Mattar Paneer, frozen",370,54.0,11.0,13.0,6.0,23.5,4.7
332,Indian Biryani Cooking Sauce,140,15.0,8.0,2.0,3.0,15,5.0
333,Bitters,0,0.0,0.0,0.0,0.0,20,8.0
334,Indian Korma Cooking Sauce,185,10.0,14.0,3.0,2.0,10,0
335,"Drizzlecorn, Black & White",140,20.0,6.0,1.0,1.0,0,0
336,Potato Bread,70,14.0,1.0,3.0,0.0,20,0
337,"Indian Snacks, Salted Peanuts",637,21.9,51.9,20.6,0.9,0,13.0
338,Organic Bombay Chickpeas,110,12.0,5.0,3.0,2.0,0,2
339,"Indian Snacks, Halhari Chiwda",587,37.9,42.1,14.1,1.1,0,0
340,Classic Indian Curry Sauce,30,2.0,2.5,1.0,0.0,0,1
341,Namak Para,170,12.0,12.0,2.0,0.0,0,4.2
342,Movie Theater Popcorn,160,13.0,12.0,2.0,1.0,0,1
343,Hot Punjabi Mix,140,8.0,11.0,4.0,2.0,0,0
344,Premium Indian Tonic Water,30,7.6,0.0,0.0,0.0,0,0
345,Boneless Ham Steak,60,1.0,2.5,9.0,0.0,5.0,1
346,Indian Style Butter Chicken,310,37.0,7.0,24.0,3.0,0,5.8
347,Indian Style Nonfat Yogurt,140,19.0,0.0,13.0,0.0,0,1
348,"Indian Water Chestnut, Cooked",90,19.0,0.0,3.0,0.0,30,3
349,"Indian Snacks, Mini Bhakarwadi",260,26.0,16.0,4.0,2.0,70,18
350,Indian Madras Lentils,150,17.0,6.0,6.0,5.0,10.0,6
351,Authentic Indian Basmati Rice,160,36.0,0.0,4.0,1.0,0,2
352,Movie Theater Popcorn,160,13.0,12.0,2.0,3.0,0,3.0
353,"Pumpkin Seeds, Salted",36,1.0,3.0,2.0,0.2,10.0,0
354,Aloo Paratha,265,41.0,9.0,5.0,3.0,0,0
355,All Natural Kettlecorn,130,21.0,5.0,1.0,2.0,5.0,0
